,est,y_sample,date
3469,168.7959991562005,168.0044,2017-11-13
3470,168.14574734311998,165.4645,2017-11-14
3471,166.03444200508847,163.282,2017-11-15
3472,163.805989644323,165.2328,2017-11-16
3473,165.20418437503454,164.3154,2017-11-17
3474,164.34238875740508,164.1512,2017-11-20
3475,164.25993721692134,167.2028,2017-11-21
3476,166.97212154368148,168.9604,2017-11-22
3477,168.67751694488373,168.9701,2017-11-24
3478,168.94746928949417,168.1202,2017-11-27
3479,168.29325896943158,167.1352,2017-11-28
3480,167.3543753930837,163.6683,2017-11-29
3481,164.45795125871015,165.9571,2017-11-30
3482,165.99058897600483,165.1845,2017-12-01
3483,165.18563786051914,163.9774,2017-12-04
3484,164.22648695920228,163.8228,2017-12-05
3485,163.94502230257868,163.2144,2017-12-06
3486,163.35069941548818,163.5138,2017-12-07
3487,163.51769976887346,163.5621,2017-12-08
3488,163.55200938324282,166.7489,2017-12-11
3489,166.49746064143142,165.8122,2017-12-12
3490,165.83288786209178,166.3627,2017-12-13
3491,166.34540524803577,166.3144,2017-12-14
3492,166.31180175972491,168.0044,2017-12-15
3493,167.8741782979509,170.3703,2017-12-18
3494,170.05565280938873,168.5548,2017-12-19
3495,168.74519222112556,168.3713,2017-12-20
3496,168.54927645811526,169.0087,2017-12-21
3497,168.96388243466427,169.0087,2017-12-22
3498,169.00226716521246,164.7499,2017-12-27
3499,165.6221627811007,165.2135,2017-12-28
3500,165.62370935032504,163.4269,2017-12-29
3501,163.73556997267508,166.35299999999998,2018-01-02
3502,166.18076717827333,166.324,2018-01-03
3503,166.30915025866474,167.0966,2018-01-04
3504,167.0374424141246,168.99900000000002,2018-01-05
3505,168.81141249224058,168.3713,2018-01-08
3506,168.362937161774,168.352,2018-01-09
3507,168.40732047182186,168.3134,2018-01-10
3508,168.32293869579826,169.2694,2018-01-11
3509,169.19635403387593,171.0174,2018-01-12
3510,170.84298013687498,170.1482,2018-01-16
3511,170.18031066173396,172.9584,2018-01-17
3512,172.74877741129353,173.113,2018-01-18
3513,173.05767678363804,172.3404,2018-01-19
3514,172.47877150988552,170.9305,2018-01-22
3515,171.2144087233379,170.9691,2018-01-23
3516,171.07688408630648,168.2458,2018-01-24
3517,168.79952220860167,165.2424,2018-01-25
3518,165.90398657907605,165.6287,2018-01-26
3519,165.85695694831801,162.2004,2018-01-29
3520,162.85503700694764,161.2444,2018-01-30
3521,161.6778070877061,161.6886,2018-01-31
3522,161.69455314491057,162.0266,2018-02-01
3523,161.9711875403769,154.9963,2018-02-02
3524,156.39870931203458,151.1238,2018-02-05
3525,152.26365459157248,157.4395,2018-02-06
3526,157.07415222788615,154.0692,2018-02-07
3527,154.17269122511462,149.8297,2018-02-08
3528,150.72299731704538,151.6549,2018-02-09
3529,151.70146807458292,157.7634,2018-02-12
3530,157.12162485328545,159.3438,2018-02-13
3531,159.14159539951828,162.2817,2018-02-14
3532,161.98615458610476,167.7309,2018-02-15
3533,167.18331756620972,167.1879,2018-02-16
3534,167.12227525124433,166.6255,2018-02-20
3535,166.75607411733645,165.8692,2018-02-21
3536,166.03045893618005,167.2557,2018-02-22
3537,167.16558046469106,170.1645,2018-02-23
3538,169.85677756173587,173.5291,2018-02-26
3539,173.07774025501377,172.9667,2018-02-27
